ticker,eps_f1,eps_f2,fy1_end,n_analysts,as_of
AAOI,0.68,4.602,2026-12-31,6,2026-09-02
AAPL,8.81249,9.53127,2026-09-30,28,2026-09-02
CRWD,1.25635,1.59657,2027-01-31,42,2026-09-02
DELL,18.82044,20.15625,2027-01-31,23,2026-09-02
DIOD,3.225,5.85,2026-12-31,2,2026-09-02
MRVL,4.20774,6.66335,2027-01-31,31,2026-09-02
MSFT,19.75306,23.57328,2027-06-30,25,2026-09-02
MU,73.40044,155.02524,2026-08-31,33,2026-09-02
NET,1.26327,1.67311,2026-12-31,29,2026-09-02
NVDA,9.29436,15.40425,2027-01-31,42,2026-09-02
TER,9.09129,11.65247,2026-12-31,15,2026-09-02
