ticker,price,price_date,next_earnings,as_of
AAOI,109.55999755859375,2026-09-10,2026-11-05,2026-09-10
AAPL,318.9844055175781,2026-09-10,2026-10-29,2026-09-10
AMZN,252.63999938964844,2026-09-10,2026-10-29,2026-09-10
CEG,290.2699890136719,2026-09-10,2026-11-09,2026-09-10
CRWD,210.7100067138672,2026-09-10,2026-12-01,2026-09-10
DELL,517.989990234375,2026-09-10,2026-11-27,2026-09-10
DIOD,90.1500015258789,2026-09-10,2026-11-05,2026-09-10
MRVL,232.90499877929688,2026-09-10,2026-12-01,2026-09-10
MSFT,493.0299987792969,2026-09-10,2026-10-28,2026-09-10
MU,993.8400268554688,2026-09-10,2026-09-30,2026-09-10
NET,313.80999755859375,2026-09-10,2026-10-29,2026-09-10
NVDA,218.36500549316406,2026-09-10,2026-11-17,2026-09-10
QCOM,174.77000427246094,2026-09-10,2026-10-29,2026-09-10
TER,374.1099853515625,2026-09-10,2026-10-21,2026-09-10
